playerOne,gamesWon,gamesLost,gamesPlayed,winRatio,lane,playerTwo
Ahri,16,8,24,66.6666666666667,TOP,Aatrox
Akali,369,364,733,50.3410641200546,TOP,Aatrox
Akshan,234,204,438,53.4246575342466,TOP,Aatrox
Alistar,12,14,26,46.1538461538462,TOP,Aatrox
Amumu,3,4,7,42.8571428571429,TOP,Aatrox
Anivia,7,6,13,53.8461538461538,TOP,Aatrox
Annie,5,7,12,41.6666666666667,TOP,Aatrox
Aphelios,3,6,9,33.3333333333333,TOP,Aatrox
Ashe,24,21,45,53.3333333333333,TOP,Aatrox
AurelionSol,11,5,16,68.75,TOP,Aatrox
Azir,14,21,35,40,TOP,Aatrox
Bard,3,3,6,50,TOP,Aatrox
Belveth,13,15,28,46.4285714285714,TOP,Aatrox
Blitzcrank,4,5,9,44.4444444444444,TOP,Aatrox
Brand,13,4,17,76.4705882352941,TOP,Aatrox
Braum,2,6,8,25,TOP,Aatrox
Caitlyn,7,13,20,35,TOP,Aatrox
Camille,426,418,844,50.4739336492891,TOP,Aatrox
Cassiopeia,27,27,54,50,TOP,Aatrox
Chogath,311,276,587,52.9812606473594,TOP,Aatrox
Corki,11,12,23,47.8260869565217,TOP,Aatrox
Darius,1271,1171,2442,52.0475020475021,TOP,Aatrox
Diana,18,11,29,62.0689655172414,TOP,Aatrox
Draven,16,14,30,53.3333333333333,TOP,Aatrox
DrMundo,444,425,869,51.0932105868815,TOP,Aatrox
Ekko,15,14,29,51.7241379310345,TOP,Aatrox
Elise,4,5,9,44.4444444444444,TOP,Aatrox
Evelynn,1,2,3,33.3333333333333,TOP,Aatrox
Ezreal,12,14,26,46.1538461538462,TOP,Aatrox
Fiddlesticks,3,10,13,23.0769230769231,TOP,Aatrox
Fiora,732,634,1366,53.5871156661786,TOP,Aatrox
Fizz,4,11,15,26.6666666666667,TOP,Aatrox
Galio,11,3,14,78.5714285714286,TOP,Aatrox
Gangplank,1250,1407,2657,47.0455400828002,TOP,Aatrox
Garen,910,772,1682,54.10225921522,TOP,Aatrox
Gnar,407,384,791,51.4538558786346,TOP,Aatrox
Gragas,258,299,557,46.3195691202873,TOP,Aatrox
Graves,151,109,260,58.0769230769231,TOP,Aatrox
Gwen,352,392,744,47.3118279569892,TOP,Aatrox
Hecarim,3,3,6,50,TOP,Aatrox
Heimerdinger,94,88,182,51.6483516483517,TOP,Aatrox
Illaoi,429,390,819,52.3809523809524,TOP,Aatrox
Irelia,720,667,1387,51.9105984138428,TOP,Aatrox
Ivern,6,7,13,46.1538461538462,TOP,Aatrox
Janna,9,8,17,52.9411764705882,TOP,Aatrox
JarvanIV,12,7,19,63.1578947368421,TOP,Aatrox
Jax,675,653,1328,50.828313253012,TOP,Aatrox
Jayce,191,207,398,47.9899497487437,TOP,Aatrox
Jhin,12,12,24,50,TOP,Aatrox
Jinx,4,3,7,57.1428571428571,TOP,Aatrox
Kaisa,5,8,13,38.4615384615385,TOP,Aatrox
Kalista,17,16,33,51.5151515151515,TOP,Aatrox
Karma,81,72,153,52.9411764705882,TOP,Aatrox
Karthus,20,15,35,57.1428571428571,TOP,Aatrox
Kassadin,6,11,17,35.2941176470588,TOP,Aatrox
Katarina,36,34,70,51.4285714285714,TOP,Aatrox
Kayle,800,654,1454,55.0206327372765,TOP,Aatrox
Kayn,39,33,72,54.1666666666667,TOP,Aatrox
Kennen,160,132,292,54.7945205479452,TOP,Aatrox
Khazix,2,2,4,50,TOP,Aatrox
Kindred,5,5,10,50,TOP,Aatrox
Kled,268,247,515,52.0388349514563,TOP,Aatrox
KogMaw,7,4,11,63.6363636363636,TOP,Aatrox
Leblanc,5,9,14,35.7142857142857,TOP,Aatrox
LeeSin,18,20,38,47.3684210526316,TOP,Aatrox
Leona,4,4,8,50,TOP,Aatrox
Lillia,197,181,378,52.1164021164021,TOP,Aatrox
Lissandra,11,12,23,47.8260869565217,TOP,Aatrox
Lucian,12,21,33,36.3636363636364,TOP,Aatrox
Lulu,11,13,24,45.8333333333333,TOP,Aatrox
Lux,8,8,16,50,TOP,Aatrox
Malphite,484,396,880,55,TOP,Aatrox
Malzahar,16,21,37,43.2432432432432,TOP,Aatrox
Maokai,43,50,93,46.2365591397849,TOP,Aatrox
MasterYi,21,27,48,43.75,TOP,Aatrox
MissFortune,2,6,8,25,TOP,Aatrox
MonkeyKing,299,280,579,51.6407599309154,TOP,Aatrox
Mordekaiser,1074,943,2017,53.2473971244422,TOP,Aatrox
Morgana,7,1,8,87.5,TOP,Aatrox
Nami,1,0,1,100,TOP,Aatrox
Nasus,611,642,1253,48.7629688747007,TOP,Aatrox
Nautilus,11,12,23,47.8260869565217,TOP,Aatrox
Neeko,26,17,43,60.4651162790698,TOP,Aatrox
Nidalee,5,9,14,35.7142857142857,TOP,Aatrox
Nilah,8,13,21,38.0952380952381,TOP,Aatrox
Nocturne,15,9,24,62.5,TOP,Aatrox
Nunu,0,5,5,0,TOP,Aatrox
Olaf,275,255,530,51.8867924528302,TOP,Aatrox
Orianna,6,4,10,60,TOP,Aatrox
Ornn,690,600,1290,53.4883720930233,TOP,Aatrox
Pantheon,230,186,416,55.2884615384615,TOP,Aatrox
Poppy,99,97,196,50.5102040816327,TOP,Aatrox
Pyke,10,3,13,76.9230769230769,TOP,Aatrox
Qiyana,11,12,23,47.8260869565217,TOP,Aatrox
Quinn,198,189,387,51.1627906976744,TOP,Aatrox
Rakan,1,2,3,33.3333333333333,TOP,Aatrox
Rammus,11,14,25,44,TOP,Aatrox
RekSai,10,8,18,55.5555555555556,TOP,Aatrox
Rell,6,7,13,46.1538461538462,TOP,Aatrox
Renata,1,7,8,12.5,TOP,Aatrox
Renekton,467,462,929,50.2691065662002,TOP,Aatrox
Rengar,107,124,231,46.3203463203463,TOP,Aatrox
Riven,525,499,1024,51.26953125,TOP,Aatrox
Rumble,57,85,142,40.1408450704225,TOP,Aatrox
Ryze,35,35,70,50,TOP,Aatrox
Samira,15,19,34,44.1176470588235,TOP,Aatrox
Sejuani,116,84,200,58,TOP,Aatrox
Senna,11,9,20,55,TOP,Aatrox
Seraphine,2,3,5,40,TOP,Aatrox
Sett,853,845,1698,50.2355712603062,TOP,Aatrox
Shaco,44,39,83,53.0120481927711,TOP,Aatrox
Shen,563,495,1058,53.2136105860113,TOP,Aatrox
Shyvana,89,70,159,55.9748427672956,TOP,Aatrox
Singed,257,212,469,54.7974413646055,TOP,Aatrox
Sion,887,938,1825,48.6027397260274,TOP,Aatrox
Sivir,1,3,4,25,TOP,Aatrox
Skarner,15,14,29,51.7241379310345,TOP,Aatrox
Sona,0,1,1,0,TOP,Aatrox
Soraka,10,11,21,47.6190476190476,TOP,Aatrox
Swain,110,104,214,51.4018691588785,TOP,Aatrox
Sylas,104,100,204,50.9803921568627,TOP,Aatrox
Syndra,3,3,6,50,TOP,Aatrox
TahmKench,350,356,706,49.5750708215297,TOP,Aatrox
Taliyah,3,6,9,33.3333333333333,TOP,Aatrox
Talon,6,3,9,66.6666666666667,TOP,Aatrox
Taric,19,12,31,61.2903225806452,TOP,Aatrox
Teemo,851,804,1655,51.4199395770393,TOP,Aatrox
Thresh,13,13,26,50,TOP,Aatrox
Tristana,7,15,22,31.8181818181818,TOP,Aatrox
Trundle,175,142,317,55.205047318612,TOP,Aatrox
Tryndamere,457,456,913,50.0547645125958,TOP,Aatrox
TwistedFate,6,7,13,46.1538461538462,TOP,Aatrox
Twitch,12,9,21,57.1428571428571,TOP,Aatrox
Udyr,103,142,245,42.0408163265306,TOP,Aatrox
Urgot,422,373,795,53.0817610062893,TOP,Aatrox
Varus,8,9,17,47.0588235294118,TOP,Aatrox
Vayne,194,217,411,47.2019464720195,TOP,Aatrox
Veigar,14,13,27,51.8518518518518,TOP,Aatrox
Velkoz,4,0,4,100,TOP,Aatrox
Vex,10,13,23,43.4782608695652,TOP,Aatrox
Vi,12,14,26,46.1538461538462,TOP,Aatrox
Viego,28,31,59,47.4576271186441,TOP,Aatrox
Viktor,26,26,52,50,TOP,Aatrox
Vladimir,153,124,277,55.2346570397112,TOP,Aatrox
Volibear,580,561,1141,50.8326029798422,TOP,Aatrox
Warwick,178,176,354,50.2824858757062,TOP,Aatrox
Xayah,0,1,1,0,TOP,Aatrox
Xerath,1,0,1,100,TOP,Aatrox
XinZhao,15,18,33,45.4545454545455,TOP,Aatrox
Yasuo,409,445,854,47.8922716627635,TOP,Aatrox
Yone,610,622,1232,49.512987012987,TOP,Aatrox
Yorick,431,353,784,54.9744897959184,TOP,Aatrox
Yuumi,5,6,11,45.4545454545455,TOP,Aatrox
Zac,25,27,52,48.0769230769231,TOP,Aatrox
Zed,29,15,44,65.9090909090909,TOP,Aatrox
Zeri,46,40,86,53.4883720930233,TOP,Aatrox
Ziggs,2,2,4,50,TOP,Aatrox
Zilean,9,3,12,75,TOP,Aatrox
Zoe,3,4,7,42.8571428571429,TOP,Aatrox
Zyra,7,4,11,63.6363636363636,TOP,Aatrox
Akshan,1,0,1,100,JUNGLE,Aatrox
